absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.040477,0.002475,0.049751,83.236551,3,42
0.020573,0.000741,0.027214,90.642597,3,44
0.022964,0.001359,0.036864,88.609164,3,46
0.023268,0.002105,0.045876,99.99559,3,47
0.000592,0.000001,0.000786,83.126547,3,49
0.010093,0.000169,0.013006,88.684791,3,52
0.002252,0.000008,0.002876,91.505265,3,54
0.035391,0.002554,0.050541,93.818075,3,55
0.019471,0.000824,0.028702,98.850648,3,56
0.011163,0.000674,0.025968,95.346756,3,59
0.002791,0.000012,0.003432,86.262869,3,60
0.025499,0.001237,0.035172,93.692558,3,67
0.015208,0.000393,0.01983,89.0998,3,71
0.048384,0.003914,0.062565,95.622157,3,72
0.021112,0.00075,0.027383,90.202901,3,74
0.013978,0.000296,0.017191,89.913358,3,79
0.000889,0.000001,0.000996,79.56478,3,80
0.005971,0.000055,0.007436,98.160595,3,81
0.014285,0.00032,0.017889,93.543281,3,82
0.009526,0.000136,0.011666,91.700318,3,85
0.012826,0.000303,0.017409,92.165653,3,87
0.007843,0.000122,0.011027,92.890431,3,90
0.004662,0.00004,0.006291,93.313301,3,91
0.017135,0.000429,0.020709,97.147335,3,92
0.026812,0.0016,0.040003,81.313065,3,94
0.016764,0.000382,0.019549,97.905092,3,95
0.026973,0.001392,0.037314,89.629184,3,96
0.00604,0.000069,0.008281,92.282418,3,97
0.002223,0.000008,0.002751,77.457211,3,98
0.071374,0.023454,0.153147,99.964729,4,1
0.052091,0.037364,0.193297,99.959795,4,2
0.041409,0.003579,0.059822,99.982718,4,3
0.01911,0.0013,0.036061,99.997318,4,4
0.06033,0.010279,0.101384,99.964864,4,5
0.07449,0.017727,0.133142,99.966204,4,6
0.20622,0.472967,0.687726,99.260574,4,7
0.016479,0.001195,0.034571,99.998908,4,8
0.049687,0.005341,0.07308,99.992372,4,9
0.040003,0.008051,0.089727,99.983169,4,10
0.062848,0.013899,0.117894,99.983433,4,11
0.066536,0.033154,0.182082,99.944118,4,12
0.030958,0.009112,0.095455,99.987076,4,13
0.09007,0.196236,0.442986,99.551686,4,14
0.061112,0.013441,0.115934,99.936684,4,16
0.024185,0.001221,0.034947,99.997908,4,17
0.203445,0.1866,0.431972,99.799574,4,18
0.046797,0.026698,0.163396,99.917981,4,19
0.06692,0.079256,0.281524,99.770661,4,20
0.045425,0.016985,0.130326,99.976977,4,21
0.095448,0.088518,0.29752,99.880498,4,22
0.105848,0.163681,0.404575,99.747613,4,23
0.043053,0.005735,0.075727,99.984427,4,24
0.030516,0.002453,0.049529,85.466157,4,25
0.074394,0.040435,0.201085,99.941684,4,26
0.027586,0.002131,0.046167,99.995622,4,27
0.008143,0.000352,0.018755,99.997927,4,28
0.124227,0.313058,0.559516,99.406601,4,29
0.024533,0.001001,0.031632,99.997072,4,30
0.037104,0.004256,0.065237,99.991453,4,31
0.051714,0.007089,0.084195,99.964909,4,32
0.027885,0.001579,0.039737,88.620064,4,33
0.047327,0.007209,0.084903,99.98751,4,34
0.020867,0.000714,0.026716,88.789008,4,35
0.053787,0.006,0.077459,99.982032,4,36
0.023052,0.00165,0.040617,99.995333,4,37
0.034829,0.006108,0.078155,99.992372,4,38
1.865827,17.396458,4.170906,83.348717,4,39
0.040713,0.029272,0.17109,99.94441,4,40
0.055827,0.029883,0.172868,99.941014,4,41
0.051743,0.040171,0.200427,99.94485,4,42
0.098879,0.057956,0.240742,99.931319,4,44
0.153471,0.177352,0.421132,99.861099,4,45
0.059598,0.028556,0.168985,99.964625,4,46
0.005078,0.000073,0.008525,91.507648,4,47
0.161504,0.233334,0.483047,99.644751,4,48
0.092643,0.055166,0.234875,99.911009,4,49
0.030402,0.002911,0.053953,99.991512,4,52
0.033485,0.015166,0.12315,99.975575,4,54
0.052737,0.017071,0.130657,99.914664,4,55
0.087434,0.068976,0.262632,99.795125,4,56
0.068515,0.008325,0.09124,99.975115,4,58
0.026224,0.005898,0.0768,99.99075,4,59
0.026596,0.016426,0.128166,99.974006,4,60
0.091996,0.071658,0.26769,99.83677,4,67
0.079359,0.038196,0.195438,99.954567,4,71
0.065618,0.020916,0.144625,99.959231,4,72
0.036271,0.004919,0.070135,99.992185,4,74
0.015708,0.00066,0.02569,99.997114,4,79
