absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.038770,0.002566,0.050660,91.547419,3.000000,14.000000
0.075919,0.008239,0.090771,91.798738,3.000000,16.000000
0.034371,0.001599,0.039992,71.263345,3.000000,17.000000
0.123650,0.022007,0.148347,88.889711,3.000000,18.000000
0.024556,0.000976,0.031248,66.801593,3.000000,19.000000
0.035992,0.001847,0.042972,62.527803,3.000000,20.000000
0.013972,0.000297,0.017223,54.013207,3.000000,21.000000
0.042564,0.002934,0.054167,77.146070,3.000000,22.000000
0.069305,0.006427,0.080171,80.456589,3.000000,23.000000
0.044063,0.002931,0.054139,88.535929,3.000000,24.000000
0.042420,0.002478,0.049778,76.777019,3.000000,25.000000
0.039048,0.002139,0.046248,84.929317,3.000000,26.000000
0.012013,0.000205,0.014321,76.064658,3.000000,27.000000
0.005650,0.000042,0.006498,79.249324,3.000000,28.000000
0.025575,0.000970,0.031147,83.051699,3.000000,29.000000
0.021515,0.000651,0.025506,77.052436,3.000000,30.000000
0.025214,0.000875,0.029579,86.754219,3.000000,31.000000
0.100298,0.015263,0.123545,79.246462,3.000000,32.000000
0.051976,0.003577,0.059811,81.686987,3.000000,33.000000
0.054095,0.004221,0.064969,72.889504,3.000000,34.000000
0.026352,0.000949,0.030810,47.550027,3.000000,35.000000
0.030392,0.001197,0.034600,81.823812,3.000000,36.000000
0.041530,0.002419,0.049180,91.501886,3.000000,38.000000
0.025033,0.000828,0.028768,91.001736,3.000000,40.000000
0.021954,0.000752,0.027416,75.337972,3.000000,41.000000
0.072119,0.006477,0.080480,56.133475,3.000000,42.000000
0.037668,0.001830,0.042781,76.875858,3.000000,44.000000
0.039816,0.002230,0.047224,81.307502,3.000000,46.000000
0.043086,0.005641,0.075109,99.988179,3.000000,47.000000
0.000569,0.000000,0.000662,88.043005,3.000000,49.000000
0.022161,0.000646,0.025412,56.806171,3.000000,52.000000
0.004705,0.000029,0.005373,70.358800,3.000000,54.000000
0.061375,0.005464,0.073922,86.775124,3.000000,55.000000
0.047444,0.003682,0.060676,94.863759,3.000000,56.000000
0.011130,0.000195,0.013954,98.656474,3.000000,59.000000
0.006039,0.000045,0.006716,47.406121,3.000000,60.000000
0.041336,0.002255,0.047485,88.503394,3.000000,67.000000
0.030142,0.001319,0.036316,63.442619,3.000000,71.000000
0.103534,0.014245,0.119351,84.068573,3.000000,72.000000
0.038927,0.002313,0.048092,69.779675,3.000000,74.000000
0.028149,0.001060,0.032561,63.815106,3.000000,79.000000
0.001089,0.000002,0.001443,57.143337,3.000000,80.000000
0.011327,0.000163,0.012773,94.572040,3.000000,81.000000
0.037707,0.001808,0.042516,63.528574,3.000000,82.000000
0.018092,0.000463,0.021511,71.780110,3.000000,85.000000
0.033969,0.001431,0.037823,63.021485,3.000000,87.000000
0.012802,0.000223,0.014934,86.958827,3.000000,90.000000
0.011442,0.000185,0.013591,68.786530,3.000000,91.000000
0.031670,0.001379,0.037133,90.828174,3.000000,92.000000
0.019854,0.000728,0.026990,91.493373,3.000000,94.000000
0.034226,0.001588,0.039855,91.292357,3.000000,95.000000
0.040979,0.002314,0.048102,82.765541,3.000000,96.000000
0.010300,0.000144,0.012005,83.782256,3.000000,97.000000
0.001521,0.000004,0.001946,88.714493,3.000000,98.000000
0.159843,0.036897,0.192086,99.944512,4.000000,1.000000
0.041005,0.002416,0.049157,99.997400,4.000000,2.000000
0.132163,0.027857,0.166903,99.865480,4.000000,3.000000
0.031574,0.001346,0.036694,99.997223,4.000000,4.000000
0.136998,0.024796,0.157466,99.915242,4.000000,5.000000
0.140348,0.028609,0.169142,99.945457,4.000000,6.000000
0.162845,0.045764,0.213925,99.928454,4.000000,7.000000
0.026218,0.001094,0.033069,99.999001,4.000000,8.000000
0.114897,0.021778,0.147574,99.968897,4.000000,9.000000
0.053082,0.004405,0.066369,99.990791,4.000000,10.000000
0.121192,0.019256,0.138768,99.977047,4.000000,11.000000
0.049660,0.003744,0.061185,99.993690,4.000000,12.000000
0.031588,0.001449,0.038066,99.997945,4.000000,13.000000
0.065425,0.007295,0.085410,99.983334,4.000000,14.000000
0.140110,0.030836,0.175603,99.854736,4.000000,16.000000
0.054443,0.004645,0.068154,99.992045,4.000000,17.000000
0.361329,0.230752,0.480367,99.752151,4.000000,18.000000
0.051846,0.003688,0.060727,99.988671,4.000000,19.000000
0.040008,0.002630,0.051284,99.992390,4.000000,20.000000
0.046226,0.003133,0.055976,99.995753,4.000000,21.000000
0.094654,0.013331,0.115459,99.982003,4.000000,22.000000
0.074139,0.008806,0.093840,99.986422,4.000000,23.000000
0.101771,0.015415,0.124156,99.958139,4.000000,24.000000
0.069016,0.006762,0.082231,59.937651,4.000000,25.000000
0.086090,0.011250,0.106066,99.983775,4.000000,26.000000
0.054869,0.004289,0.065488,99.991192,4.000000,27.000000
0.014889,0.000368,0.019180,99.997832,4.000000,28.000000
0.083755,0.009459,0.097256,99.982071,4.000000,29.000000
0.047968,0.003283,0.057299,99.990392,4.000000,30.000000
0.089265,0.012932,0.113719,99.974028,4.000000,31.000000
0.160272,0.035999,0.189734,99.821796,4.000000,32.000000
0.129678,0.022994,0.151637,-65.719455,4.000000,33.000000
0.086540,0.010666,0.103279,99.981519,4.000000,34.000000
0.049742,0.003782,0.061501,40.588608,4.000000,35.000000
0.152677,0.030321,0.174129,99.909197,4.000000,36.000000
0.044786,0.003186,0.056447,99.990987,4.000000,37.000000
0.056475,0.005222,0.072261,99.993479,4.000000,38.000000
0.000380,0.000000,0.000478,100.000000,4.000000,39.000000
0.027322,0.001086,0.032960,99.997937,4.000000,40.000000
0.052572,0.004977,0.070551,99.990175,4.000000,41.000000
0.048408,0.003175,0.056343,99.995642,4.000000,42.000000
0.051211,0.003879,0.062285,99.995403,4.000000,44.000000
0.000803,0.000001,0.000899,99.999999,4.000000,45.000000
0.066038,0.006697,0.081832,99.991704,4.000000,46.000000
0.000908,0.000001,0.001090,99.861125,4.000000,47.000000
0.139091,0.026005,0.161262,99.960407,4.000000,48.000000
0.113380,0.018062,0.134396,99.970863,4.000000,49.000000
0.058228,0.005095,0.071381,99.985143,4.000000,52.000000
0.011082,0.000246,0.015679,99.999604,4.000000,54.000000
0.079436,0.009170,0.095761,99.954159,4.000000,55.000000
0.134512,0.025394,0.159354,99.924574,4.000000,56.000000
0.142979,0.030040,0.173320,99.910203,4.000000,58.000000
0.058876,0.004755,0.068954,99.992544,4.000000,59.000000
0.009733,0.000157,0.012512,99.999752,4.000000,60.000000
0.184880,0.045444,0.213175,99.896484,4.000000,67.000000
0.097306,0.015367,0.123965,99.981721,4.000000,71.000000
0.120663,0.025092,0.158405,99.951092,4.000000,72.000000
0.072586,0.007403,0.086038,99.988239,4.000000,74.000000
0.032942,0.001546,0.039325,99.993238,4.000000,79.000000
0.047910,0.003483,0.059021,99.994594,4.000000,80.000000
0.024628,0.000991,0.031483,99.997935,4.000000,81.000000
0.063415,0.006207,0.078786,99.994873,4.000000,82.000000
0.052597,0.004574,0.067631,99.987788,4.000000,83.000000
0.057034,0.004991,0.070646,40.818831,4.000000,85.000000
0.053239,0.004304,0.065601,99.994602,4.000000,87.000000
0.042900,0.002787,0.052794,99.995283,4.000000,90.000000
0.035529,0.001822,0.042688,99.996695,4.000000,91.000000
0.061387,0.005977,0.077309,99.995858,4.000000,92.000000
0.055254,0.004238,0.065103,99.985791,4.000000,93.000000
0.051576,0.003966,0.062973,99.997237,4.000000,94.000000
0.035048,0.001772,0.042090,99.997002,4.000000,95.000000
0.073972,0.009051,0.095137,99.981461,4.000000,96.000000
0.032940,0.001665,0.040808,99.997661,4.000000,97.000000
0.078807,0.008993,0.094831,99.985986,4.000000,98.000000
0.061735,0.005130,0.071624,93.240143,4.000000,99.000000
0.072165,0.007905,0.088910,69.858599,5.000000,1.000000
0.027706,0.001241,0.035229,46.567728,5.000000,2.000000
0.035817,0.002022,0.044968,72.518578,5.000000,3.000000
0.019804,0.000557,0.023593,71.506896,5.000000,4.000000
0.091535,0.010918,0.104487,65.518829,5.000000,5.000000
0.045788,0.003179,0.056379,93.219008,5.000000,6.000000
0.075006,0.007467,0.086414,91.656104,5.000000,7.000000
0.023056,0.000702,0.026498,80.219633,5.000000,8.000000
0.067846,0.006036,0.077693,80.927865,5.000000,9.000000
0.039033,0.001973,0.044417,62.361557,5.000000,10.000000
0.049827,0.003266,0.057146,74.108660,5.000000,11.000000
0.025314,0.000809,0.028444,69.657335,5.000000,12.000000
0.016985,0.000390,0.019760,71.582263,5.000000,13.000000
0.038522,0.002092,0.045733,89.549746,5.000000,14.000000
0.068058,0.006877,0.082925,94.411582,5.000000,16.000000
0.031358,0.001271,0.035647,77.888488,5.000000,17.000000
0.105127,0.014346,0.119773,91.492754,5.000000,18.000000
0.003871,0.000019,0.004366,83.679795,5.000000,19.000000
0.021989,0.000855,0.029243,84.685438,5.000000,20.000000
0.020284,0.000520,0.022796,53.744180,5.000000,21.000000
0.039301,0.002021,0.044959,75.977409,5.000000,22.000000
0.049021,0.003431,0.058574,82.460474,5.000000,23.000000
0.040690,0.002226,0.047184,80.043486,5.000000,24.000000
0.039227,0.002025,0.044997,64.978472,5.000000,25.000000
0.027965,0.001132,0.033642,83.887468,5.000000,26.000000
0.009827,0.000150,0.012254,76.306286,5.000000,27.000000
0.004955,0.000034,0.005832,78.793670,5.000000,28.000000
0.020322,0.000615,0.024795,75.729683,5.000000,29.000000
0.016055,0.000344,0.018542,79.943154,5.000000,30.000000
0.017811,0.000485,0.022028,80.524473,5.000000,31.000000
0.053843,0.004260,0.065271,83.056571,5.000000,32.000000
0.035436,0.001780,0.042188,75.560672,5.000000,33.000000
0.041678,0.002208,0.046990,77.540529,5.000000,34.000000
0.024276,0.000778,0.027894,76.930740,5.000000,35.000000
0.024131,0.000833,0.028863,86.571149,5.000000,36.000000
0.070399,0.007173,0.084694,51.806427,5.000000,38.000000
0.030011,0.001099,0.033148,78.797329,5.000000,40.000000
0.024805,0.000978,0.031265,76.602461,5.000000,41.000000
0.029438,0.001125,0.033536,53.280334,5.000000,42.000000
0.028893,0.001058,0.032520,62.158015,5.000000,44.000000
0.001042,0.000002,0.001331,78.728732,5.000000,45.000000
0.032604,0.001477,0.038431,84.487797,5.000000,46.000000
0.000676,0.000001,0.000828,99.764649,5.000000,47.000000
0.001899,0.000005,0.002146,83.336759,5.000000,49.000000
0.019268,0.000543,0.023296,51.508825,5.000000,52.000000
0.004516,0.000027,0.005213,69.019048,5.000000,54.000000
0.044875,0.002876,0.053625,63.791969,5.000000,55.000000
